run_id,scenario,hb_interval_ms,hb_timeout_ms,downtime_ms,detection_ms,put_ok,put_fail
leader_crash_hb100_to1200_1771787335797,leader_crash,100,1200,4022,1185,33,69
leader_crash_hb100_to1200_1771787894494,leader_crash,100,1200,3989,1205,33,68
leader_crash_hb100_to1200_1771788785299,leader_crash,100,1200,3989,1228,33,69
leader_crash_hb100_to1200_1771788998858,leader_crash,100,1200,3973,1205,33,67
leader_crash_hb100_to200_1771787315821,leader_crash,100,200,4023,197,33,69
leader_crash_hb100_to200_1771787874557,leader_crash,100,200,4005,192,33,68
leader_crash_hb100_to200_1771788765332,leader_crash,100,200,3990,149,34,68
leader_crash_hb100_to200_1771788978895,leader_crash,100,200,4049,200,33,69
leader_crash_hb100_to400_1771787322474,leader_crash,100,400,4020,386,33,69
leader_crash_hb100_to400_1771787881207,leader_crash,100,400,4002,383,33,68
leader_crash_hb100_to400_1771788772001,leader_crash,100,400,4021,390,33,68
leader_crash_hb100_to400_1771788985572,leader_crash,100,400,3968,370,33,67
leader_crash_hb100_to800_1771787329131,leader_crash,100,800,4009,796,33,69
leader_crash_hb100_to800_1771787887861,leader_crash,100,800,3978,799,33,68
leader_crash_hb100_to800_1771788778652,leader_crash,100,800,4005,804,33,68
leader_crash_hb100_to800_1771788992198,leader_crash,100,800,4004,788,33,68
leader_crash_hb200_to1200_1771787362475,leader_crash,200,1200,4023,1056,33,69
leader_crash_hb200_to1200_1771787921103,leader_crash,200,1200,4039,1062,33,69
leader_crash_hb200_to1200_1771788811911,leader_crash,200,1200,4002,1043,33,68
leader_crash_hb200_to1200_1771789025467,leader_crash,200,1200,4033,1048,33,69
leader_crash_hb200_to200_1771787342477,leader_crash,200,200,3993,208,33,68
leader_crash_hb200_to200_1771787901138,leader_crash,200,200,4017,18,33,68
leader_crash_hb200_to200_1771788791935,leader_crash,200,200,3955,392,34,68
leader_crash_hb200_to200_1771789005495,leader_crash,200,200,4013,29,33,68
leader_crash_hb200_to400_1771787349136,leader_crash,200,400,4014,233,33,69
leader_crash_hb200_to400_1771787907812,leader_crash,200,400,3978,226,33,68
leader_crash_hb200_to400_1771788798567,leader_crash,200,400,4029,228,34,68
leader_crash_hb200_to400_1771789012156,leader_crash,200,400,4004,237,33,68
leader_crash_hb200_to800_1771787355802,leader_crash,200,800,4004,807,33,69
leader_crash_hb200_to800_1771787914440,leader_crash,200,800,4023,647,33,69
leader_crash_hb200_to800_1771788805268,leader_crash,200,800,3962,628,34,68
leader_crash_hb200_to800_1771789018813,leader_crash,200,800,3999,641,33,68
leader_crash_hb50_to1200_1771787309170,leader_crash,50,1200,3999,1181,33,69
leader_crash_hb50_to1200_1771787867928,leader_crash,50,1200,4000,1200,33,68
leader_crash_hb50_to1200_1771788758665,leader_crash,50,1200,4037,1212,33,69
leader_crash_hb50_to1200_1771788972251,leader_crash,50,1200,3961,1219,34,68
leader_crash_hb50_to200_1771787289211,leader_crash,50,200,3970,,34,69
leader_crash_hb50_to200_1771787848001,leader_crash,50,200,3995,209,33,69
leader_crash_hb50_to200_1771788738729,leader_crash,50,200,3984,201,33,68
leader_crash_hb50_to200_1771788952305,leader_crash,50,200,3985,167,33,68
leader_crash_hb50_to400_1771787295852,leader_crash,50,400,4006,418,33,69
leader_crash_hb50_to400_1771787854646,leader_crash,50,400,3991,389,33,68
leader_crash_hb50_to400_1771788745382,leader_crash,50,400,4005,392,33,68
leader_crash_hb50_to400_1771788958947,leader_crash,50,400,3997,383,33,68
leader_crash_hb50_to800_1771787302515,leader_crash,50,800,4003,790,33,69
leader_crash_hb50_to800_1771787861291,leader_crash,50,800,4005,829,33,68
leader_crash_hb50_to800_1771788752029,leader_crash,50,800,3988,785,33,68
leader_crash_hb50_to800_1771788965592,leader_crash,50,800,4020,827,33,68
