config,run_id,hb_interval_ms,hb_timeout_ms,repl_mode,fault_type,detection_latency_ms,downtime_ms,write_latency_median_us,write_latency_p95_us,write_latency_p99_us,throughput_ops_sec,total_ops,success_ops,failed_ops,false_positives,repl_skipped_count
delay_fast_sync,delay_fast_sync_t1_1777060840949,50,150,sync,delay,141,7,255.5,633.05,719.04,78.66789038940605,600,600,0,0,179
delay_fast_sync,delay_fast_sync_t2_1777060851282,50,150,sync,delay,128,0,257.0,612.05,682.02,78.87472065203102,600,600,0,0,168
delay_fast_sync,delay_fast_sync_t3_1776263055207,50,150,sync,delay,128,4,158.5,452.04999999999995,618.0999999999999,78.10466024472794,600,600,0,0,167
delay_fast_sync,delay_fast_sync_t4_1776263065534,50,150,sync,delay,140,7,152.0,380.0,460.04999999999995,78.28810020876827,600,600,0,0,165
delay_fast_sync,delay_fast_sync_t5_1776263075855,50,150,sync,delay,128,0,154.0,381.04999999999995,449.1299999999999,77.66990291262137,600,600,0,0,168
delay_slow_async,delay_slow_async_t1_1776263086183,200,600,async,delay,444,12,140.5,202.14999999999986,262.03,82.90728202293768,600,600,0,0,140
delay_slow_async,delay_slow_async_t2_1776263096814,200,600,async,delay,488,1,171.0,349.3499999999997,927.0099999999973,82.59911894273128,600,600,0,0,144
delay_slow_async,delay_slow_async_t3_1776263107486,200,600,async,delay,460,2,189.0,322.04999999999995,688.4699999999987,82.80430582390284,600,600,0,0,161
delay_slow_async,delay_slow_async_t4_1776263118095,200,600,async,delay,422,10,163.0,260.04999999999995,337.1299999999999,82.81573498964804,600,600,0,0,159
delay_slow_async,delay_slow_async_t5_1776263128723,200,600,async,delay,439,11,162.0,304.0999999999999,624.3499999999988,83.56545961002786,600,600,0,0,158
fd_fast_async_repl,fd_fast_async_repl_t1_1777060820423,50,150,async,crash,107,3,245.0,356.04999999999995,427.06999999999994,83.65867261572784,600,600,0,0,181
fd_fast_async_repl,fd_fast_async_repl_t2_1777060830684,50,150,async,crash,119,3,251.0,362.04999999999995,419.3099999999997,83.49568605622044,600,600,0,0,164
fd_fast_async_repl,fd_fast_async_repl_t3_1776262434100,50,150,async,crash,148,2,175.0,431.9999999999982,2966.729999999996,81.67710318540702,600,600,0,0,160
fd_fast_async_repl,fd_fast_async_repl_t4_1776262444408,50,150,async,crash,125,3,160.0,282.04999999999995,337.03,83.01051466519093,600,600,0,0,166
fd_fast_async_repl,fd_fast_async_repl_t5_1776262454671,50,150,async,crash,152,3,158.5,261.04999999999995,343.01,83.65867261572784,600,600,0,0,164
fd_fast_no_repl,fd_fast_no_repl_t1_1777060779000,50,150,none,crash,142,2,220.0,307.0,369.16999999999985,83.75209380234506,600,600,0,0,0
fd_fast_no_repl,fd_fast_no_repl_t2_1777060789630,50,150,none,crash,121,11,231.0,326.0,404.4599999999996,83.6470096194061,600,600,0,0,0
fd_fast_no_repl,fd_fast_no_repl_t3_1776262278274,50,150,none,crash,138,0,146.5,280.04999999999995,469.1999999999998,82.9646017699115,600,600,0,0,0
fd_fast_no_repl,fd_fast_no_repl_t4_1776262288582,50,150,none,crash,130,4,156.0,253.04999999999995,289.0,83.32176086654631,600,600,0,0,0
fd_fast_no_repl,fd_fast_no_repl_t5_1776262298904,50,150,none,crash,123,0,164.0,263.1999999999998,312.01,82.9531314807134,600,600,0,0,0
fd_fast_sync_repl,fd_fast_sync_repl_t1_1777060799888,50,150,sync,crash,128,5,258.0,639.05,716.2599999999998,83.2639467110741,600,600,0,0,179
fd_fast_sync_repl,fd_fast_sync_repl_t2_1777060810157,50,150,sync,crash,111,8,257.0,614.05,735.4199999999996,83.90434904209202,600,600,0,0,177
fd_fast_sync_repl,fd_fast_sync_repl_t3_1776262382740,50,150,sync,crash,115,8,167.5,388.0999999999999,465.01,83.5421888053467,600,600,0,0,174
fd_fast_sync_repl,fd_fast_sync_repl_t4_1776262393003,50,150,sync,crash,128,7,178.0,407.04999999999995,514.1899999999998,84.24599831508003,600,600,0,0,167
fd_fast_sync_repl,fd_fast_sync_repl_t5_1776262403314,50,150,sync,crash,127,8,176.0,420.04999999999995,520.0799999999999,83.61204013377926,600,600,0,0,165
fd_mixed_i200_t150_async_repl,fd_mixed_i200_t150_async_repl_t1_1776262772698,200,150,async,crash,,6,220.0,362.0,456.04999999999995,82.78145695364238,600,600,0,1,205
fd_mixed_i200_t150_async_repl,fd_mixed_i200_t150_async_repl_t2_1776262792861,200,150,async,crash,,4,184.0,321.0,696.1299999999962,83.69368112707491,600,600,0,1,221
fd_mixed_i200_t150_async_repl,fd_mixed_i200_t150_async_repl_t3_1776262813043,200,150,async,crash,,1,184.0,345.0,495.109999999999,82.80430582390284,600,600,0,1,225
fd_mixed_i200_t150_async_repl,fd_mixed_i200_t150_async_repl_t4_1776262833176,200,150,async,crash,,2,189.0,322.04999999999995,393.0,82.87292817679558,600,600,0,1,205
fd_mixed_i200_t150_async_repl,fd_mixed_i200_t150_async_repl_t5_1776262853333,200,150,async,crash,,10,159.0,314.0999999999999,612.1399999999999,83.47245409015025,600,600,0,1,207
