config,n_trials,hb_interval_ms,hb_timeout_ms,repl_mode,fault_type,detection_latency_ms_median,detection_latency_ms_iqr,detection_latency_ms_min,detection_latency_ms_max,downtime_ms_median,downtime_ms_iqr,downtime_ms_min,downtime_ms_max,write_latency_median_us_median,write_latency_median_us_iqr,write_latency_median_us_min,write_latency_median_us_max,write_latency_p95_us_median,write_latency_p95_us_iqr,write_latency_p95_us_min,write_latency_p95_us_max,throughput_ops_sec_median,throughput_ops_sec_iqr,throughput_ops_sec_min,throughput_ops_sec_max,false_positives_median,false_positives_iqr,false_positives_min,false_positives_max,repl_skipped_count_median,repl_skipped_count_iqr,repl_skipped_count_min,repl_skipped_count_max,stale_read_count_median,stale_read_count_iqr,stale_read_count_min,stale_read_count_max,stale_read_rate_median,stale_read_rate_iqr,stale_read_rate_min,stale_read_rate_max,hot_key_latency_median_us_median,hot_key_latency_median_us_iqr,hot_key_latency_median_us_min,hot_key_latency_median_us_max,cold_key_latency_median_us_median,cold_key_latency_median_us_iqr,cold_key_latency_median_us_min,cold_key_latency_median_us_max,missed,fd_algo,phi_threshold,workload_zipf_alpha
delay_fast_sync,5,50,150,sync,delay,,,,,4.0,6.0,1.0,7.0,166.5,9.5,157.0,179.0,390.04999999999995,7.9500000000000455,365.04999999999995,430.14999999999986,82.62186725419996,0.45647682702045245,82.39494644328481,83.05647840531562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,13.0,246.0,266.0,0.8355263157894737,0.025962596259625936,0.7961165048543689,0.8446601941747572,176.0,36.5,134.0,208.0,169.0,22.0,152.0,179.5,3.0,fixed,8.0,0.0
delay_slow_async,5,200,600,async,delay,,,,,10.0,1.0,1.0,10.0,125.0,1.0,124.0,128.0,210.0,10.099999999999909,196.0,217.04999999999995,82.06811653672548,0.2699983209479484,81.69934640522875,82.3158183564275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,11.0,239.0,253.0,0.8213058419243986,0.07136360951987242,0.7993311036789298,0.8833922261484098,125.5,9.0,117.5,130.0,125.0,1.0,124.0,128.0,3.0,fixed,8.0,0.0
fd_fast_async_repl,5,50,150,async,crash,124.0,5.0,111.0,131.0,7.0,7.0,0.0,10.0,152.0,2.5,146.0,159.0,234.04999999999995,19.09999999999991,204.04999999999995,257.0,83.02200083022001,0.08042542753297255,82.86148322054966,83.21775312066575,0.0,0.0,0.0,0.0,171.0,15.0,145.0,184.0,247.0,7.0,241.0,283.0,0.8527397260273972,0.023636797518195918,0.8231292517006803,0.8628048780487805,149.5,6.5,139.5,155.5,153.0,5.0,146.0,159.0,3.0,fixed,8.0,0.0
fd_fast_no_repl,5,50,150,none,crash,128.0,5.0,98.0,147.0,5.0,2.0,1.0,11.0,153.0,6.5,142.5,200.5,229.04999999999995,38.0,205.04999999999995,332.0,83.344909015141,0.2886707359233185,82.88437629506838,83.44923504867872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,12.0,240.0,263.0,0.8290322580645161,0.009312396207773688,0.7817589576547231,0.8402555910543131,150.0,3.0,136.5,200.5,153.0,8.0,143.0,200.5,3.0,fixed,8.0,0.0
fd_fast_sync_repl,5,50,150,sync,crash,121.0,11.0,110.0,128.0,7.0,4.0,3.0,9.0,166.0,29.5,152.0,198.0,403.1999999999998,43.049999999999955,371.14999999999986,428.3499999999997,83.2639467110741,0.023109616518055986,83.1831415499792,83.42602892102336,0.0,0.0,0.0,0.0,168.0,9.0,160.0,185.0,251.0,11.0,215.0,255.0,0.8508474576271187,0.011598946844090241,0.7491289198606271,0.8732876712328768,170.0,37.5,149.0,195.0,165.0,29.0,152.0,198.0,3.0,fixed,8.0,0.0
fd_slow_async_repl,5,200,600,async,crash,456.0,20.0,431.0,474.0,2.0,8.0,1.0,11.0,148.5,3.0,146.0,152.0,220.04999999999995,3.0,213.0,241.0,82.9531314807134,0.26338014056483416,82.59911894273128,83.33333333333333,0.0,0.0,0.0,0.0,159.0,7.0,152.0,165.0,247.0,3.0,231.0,251.0,0.8211920529801324,0.0018026190310050927,0.8166666666666667,0.8344594594594594,148.0,6.0,140.5,157.0,147.0,2.0,146.5,153.0,3.0,fixed,8.0,0.0
fd_slow_no_repl,5,200,600,none,crash,445.0,9.0,431.0,451.0,6.0,4.0,2.0,10.0,165.0,49.0,156.0,214.0,253.04999999999995,50.850000000000136,238.04999999999995,317.0,83.16008316008316,0.6222401656142154,82.72438990762443,84.04538450763413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,8.0,241.0,262.0,0.8361774744027304,0.0498266656262889,0.8083067092651757,0.8763636363636363,165.5,37.0,157.5,207.0,165.0,50.0,156.0,214.0,3.0,fixed,8.0,0.0
fd_slow_sync_repl,5,200,600,sync,crash,457.0,7.0,440.0,475.0,5.0,4.0,0.0,10.0,149.0,7.0,146.0,159.0,372.04999999999995,2.0,363.14999999999986,400.04999999999995,83.04498269896195,0.5316741401557721,82.9531314807134,83.55382258738337,0.0,0.0,0.0,0.0,161.0,11.0,151.0,170.0,243.0,5.0,233.0,244.0,0.8052805280528053,0.020618556701030855,0.7947882736156352,0.8617021276595744,148.0,19.5,138.0,164.0,148.0,7.0,146.0,158.0,3.0,fixed,8.0,0.0
phi_delay_fast_sync,5,50,150,sync,delay,,,,,11.0,7.0,4.0,12.0,164.0,0.5,161.0,178.0,393.1999999999998,25.850000000000136,385.0,450.0999999999999,72.29786721291723,0.02614435892462552,72.21085569864003,72.51631617113851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,10.0,227.0,262.0,0.8556338028169014,0.010787511649580583,0.7827586206896552,0.8704318936877077,161.5,12.0,147.5,174.0,164.5,6.0,161.0,179.0,3.0,phi,8.0,0.0
phi_delay_slow_async,5,200,600,async,delay,,,,,7.0,9.0,1.0,13.0,128.0,3.0,117.0,198.0,225.04999999999995,39.049999999999955,176.04999999999995,310.0,72.94832826747721,1.5643939713529562,71.76175098672407,83.53055826256438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,11.0,233.0,265.0,0.8291814946619217,0.04698119915511223,0.7934131736526946,0.8661971830985915,127.0,16.5,114.0,204.0,128.0,2.0,117.0,198.0,3.0,phi,8.0,0.0
