hb_timeout_ms,hb_interval_ms,repl_mode,median_detection_ms,iqr_detection_ms,n_trials
150,50,async,121.0,34.0,5
150,50,none,122.0,13.0,5
150,50,sync,119.0,4.0,5
150,50,async,47.0,18.0,5
150,50,none,51.0,10.0,5
150,50,sync,63.0,13.0,5
150,50,async,126.0,11.0,5
150,50,sync,139.0,13.0,5
150,50,async,47.0,21.0,5
150,50,sync,48.0,23.0,5
300,100,none,209.0,6.0,2
300,100,sync,195.0,5.0,2
600,200,async,419.0,12.0,5
600,200,none,441.0,13.0,5
600,200,sync,431.0,13.0,5
600,200,none,420.0,22.0,5
