missed,hb_interval_ms,hb_timeout_ms,repl_mode,median_detection_ms,iqr_detection_ms,n_trials
3.0,50,150,async,121.0,34.0,5
3.0,50,150,none,122.0,13.0,5
3.0,50,150,sync,119.0,4.0,5
3.0,200,600,async,419.0,12.0,5
3.0,200,600,none,441.0,13.0,5
3.0,200,600,sync,431.0,13.0,5
3.0,50,150,async,47.0,18.0,5
3.0,50,150,none,51.0,10.0,5
3.0,50,150,sync,63.0,13.0,5
3.0,200,600,none,420.0,22.0,5
3.0,100,300,none,209.0,6.0,2
3.0,100,300,sync,195.0,5.0,2
3.0,50,150,async,126.0,11.0,5
3.0,50,150,sync,139.0,13.0,5
3.0,50,150,async,47.0,21.0,5
3.0,50,150,sync,48.0,23.0,5
