config,run_id,hb_interval_ms,hb_timeout_ms,repl_mode,fault_type,detection_latency_ms,downtime_ms,write_latency_median_us,write_latency_p95_us,write_latency_p99_us,throughput_ops_sec,total_ops,success_ops,failed_ops,false_positives,repl_skipped_count
delay_fast_sync,delay_fast_sync_t1_1776228427042,50,150,sync,delay,,4,166.5,386.04999999999995,453.0999999999999,82.62186725419996,600,600,0,0,0
delay_fast_sync,delay_fast_sync_t2_1776228449266,50,150,sync,delay,,7,157.0,394.0,476.01,83.05647840531562,600,600,0,0,0
delay_fast_sync,delay_fast_sync_t3_1776228471487,50,150,sync,delay,,7,179.0,430.14999999999986,577.1699999999998,82.51959840462109,600,600,0,0,0
delay_fast_sync,delay_fast_sync_t4_1776228493648,50,150,sync,delay,,1,166.5,390.04999999999995,436.1399999999999,82.39494644328481,600,600,0,0,0
delay_fast_sync,delay_fast_sync_t5_1776228515872,50,150,sync,delay,,1,157.0,365.04999999999995,440.0799999999999,82.97607523164154,600,600,0,0,0
delay_slow_async,delay_slow_async_t1_1776228538043,200,600,async,delay,,10,128.0,212.14999999999986,272.06999999999994,82.06811653672548,600,600,0,0,0
delay_slow_async,delay_slow_async_t2_1776228560250,200,600,async,delay,,10,126.0,210.0,272.04999999999995,82.3158183564275,600,600,0,0,0
delay_slow_async,delay_slow_async_t3_1776228582432,200,600,async,delay,,10,125.0,217.04999999999995,315.05999999999995,82.2932382389247,600,600,0,0,0
delay_slow_async,delay_slow_async_t4_1776228604627,200,600,async,delay,,1,125.0,202.04999999999995,249.01999999999998,81.69934640522875,600,600,0,0,0
delay_slow_async,delay_slow_async_t5_1776228626829,200,600,async,delay,,9,124.0,196.0,259.03999999999996,82.02323991797675,600,600,0,0,0
fd_fast_async_repl,fd_fast_async_repl_t1_1776228269325,50,150,async,crash,122,10,154.5,257.0,335.05999999999995,82.9875518672199,600,600,0,0,145
fd_fast_async_repl,fd_fast_async_repl_t2_1776228279641,50,150,async,crash,131,3,159.0,234.04999999999995,293.03,83.06797729475288,600,600,0,0,171
fd_fast_async_repl,fd_fast_async_repl_t3_1776228289972,50,150,async,crash,127,10,152.0,241.14999999999986,324.0999999999999,83.21775312066575,600,600,0,0,184
fd_fast_async_repl,fd_fast_async_repl_t4_1776228300292,50,150,async,crash,111,0,152.0,222.04999999999995,271.0899999999999,83.02200083022001,600,600,0,0,168
fd_fast_async_repl,fd_fast_async_repl_t5_1776228310615,50,150,async,crash,124,7,146.0,204.04999999999995,263.0,82.86148322054966,600,600,0,0,183
fd_fast_no_repl,fd_fast_no_repl_t1_1776228113070,50,150,none,crash,98,6,154.5,249.0,310.0999999999999,82.88437629506838,600,600,0,0,0
fd_fast_no_repl,fd_fast_no_repl_t2_1776228123535,50,150,none,crash,126,5,142.5,211.0,259.04999999999995,83.344909015141,600,600,0,0,0
fd_fast_no_repl,fd_fast_no_repl_t3_1776228133841,50,150,none,crash,131,11,153.0,229.04999999999995,314.0899999999999,83.09098462816785,600,600,0,0,0
fd_fast_no_repl,fd_fast_no_repl_t4_1776228144151,50,150,none,crash,128,4,148.0,205.04999999999995,233.06999999999994,83.37965536409116,600,600,0,0,0
fd_fast_no_repl,fd_fast_no_repl_t5_1776228154458,50,150,none,crash,147,1,200.5,332.0,721.1899999999998,83.44923504867872,600,600,0,0,0
fd_fast_sync_repl,fd_fast_sync_repl_t1_1776228217808,50,150,sync,crash,121,3,186.0,428.3499999999997,520.01,83.25239350631331,600,600,0,0,175
fd_fast_sync_repl,fd_fast_sync_repl_t2_1776228228138,50,150,sync,crash,110,7,198.0,416.04999999999995,476.1199999999999,83.42602892102336,600,600,0,0,185
